timestamp,fPressureFront,fPressureSide,acceleration.x,acceleration.y,acceleration.z,quaternion.i,quaternion.j,quaternion.k,quaternion.real,quaternion.accuracy
1079630,1021.4861,1021.2012,-0.421875,0.2734375,9.7890625,0.012207031,0.008483887,-0.78167725,0.6234741,0.0
1079650,1021.47754,1021.1692,-0.30859375,0.08203125,9.90625,0.012756348,0.011169434,-0.78167725,0.6234741,0.0
1079670,1021.4746,1021.1145,-0.1953125,-0.33984375,9.8671875,0.015197754,0.014038086,-0.7816162,0.6234131,0.0
1079695,1021.4187,1021.1072,-0.38671875,-0.33984375,9.7890625,0.018615723,0.015808105,-0.7817993,0.6230469,0.0
1079710,1021.46606,1021.0869,-0.4609375,-0.26171875,9.714844,0.022827148,0.016174316,-0.7821655,0.6224365,0.0
1079730,1021.4331,1020.9597,-0.26953125,0.234375,9.6015625,0.026000977,0.017211914,-0.7827759,0.62145996,0.0
1079750,1021.4341,1020.9324,-0.73046875,-0.109375,9.410156,0.027648926,0.020080566,-0.78308105,0.6210327,0.0
1079770,1021.44995,1020.9038,-1.0351562,-0.41796875,9.2578125,0.027709961,0.021728516,-0.7828369,0.6212158,0.0
1079790,1021.4507,1020.9778,-1.1132812,-0.41796875,9.2578125,0.026672363,0.02166748,-0.7826538,0.621521,0.0
1079810,1021.43506,1021.1787,-0.99609375,-0.37890625,9.292969,0.024475098,0.020812988,-0.78289795,0.62127686,0.0
1079830,1021.3989,1021.2761,-0.84375,-0.37890625,9.4453125,0.02142334,0.020874023,-0.7831421,0.6211548,0.0
1079850,1021.4248,1021.09106,-0.8828125,-0.37890625,9.6015625,0.017028809,0.020996094,-0.7833252,0.6209717,0.0
1079870,1021.4143,1021.1216,-0.69140625,-0.453125,9.832031,0.013305664,0.020568848,-0.7832031,0.62127686,0.0
1079890,1021.4209,1021.1636,-0.26953125,-0.30078125,9.828125,0.01159668,0.019348145,-0.78308105,0.62145996,0.0
1079910,1021.41113,1021.09204,-0.30859375,-0.1875,9.910156,0.010620117,0.01953125,-0.7832031,0.6213989,0.0
